player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_epa,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_snap,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_positive_epa_percent,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_epa,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_snap,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_positive_epa_percent,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_epa,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_snap,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_positive_epa_percent,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_epa,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_snap,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_positive_epa_percent,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Kelvin Hopkins Jr.,41309,QB,ARMY,6,20,50.0,6,7,17.8,2.49,0,1,14.3,42.9,3,5,0.0,7,35.0,0,0.36,1,,,,,64.6,64.7,69.1,,64.4,,,,,,1,0,7,42.9,0.0,97.6,0.0,0,0,0,0,1,0,0.0,34,4.9,0,114,70.3,73.8,71.8,65.3,40.0,10,11,19.4,3.42,0,2,18.2,27.3,3,5,25.0,13,65.0,1,-0.14,3,,,,,66.0,70.4,71.0,,73.0,,,57.3,,,0,1,13,23.1,20.0,5.1,7.7,1,1,1,0,0,0,0.0,42,3.8,50.0,8,9,15.8,2.94,0,2,22.2,33.3,3,0,25.0,10,50.0,1,0.23,2,,,,,65.4,77.9,70.1,,81.5,,,57.3,,,0,0,10,30.0,,50.7,0.0,0,1,1,0,0,0,0.0,45,5.0,0,37.5,8,9,21.9,3.25,0,1,11.1,33.3,3,10,0.0,10,50.0,0,-0.17,2,,,,,65.4,58.3,70.1,,58.2,,,,,,1,1,10,30.0,10.0,41.7,10.0,1,0,0,0,1,0,0.0,31,3.4
Isaac Stiebeling,41520,QB,E MICHIGAN,2,18,50.0,2,2,9.0,1.45,0,0,0.0,0.0,0,0,100.0,2,11.1,1,-1.61,0,,,,,61.8,53.3,65.5,,53.4,,,,,,0,0,2,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,160,71.7,41.0,35.1,57.4,53.3,15,15,6.0,2.23,0,0,0.0,53.3,8,7,0.0,16,88.9,0,-0.23,4,,,,,66.5,34.9,71.6,,35.1,,,,,,0,0,16,37.5,14.3,60.1,6.3,1,0,0,0,0,1,6.3,49,3.3,54.5,11,11,6.2,2.0,0,0,0.0,45.5,5,0,16.7,11,61.1,1,-0.24,2,,,,,65.6,42.4,70.4,,42.4,,,,,,0,0,11,36.4,,53.6,0.0,0,0,0,0,0,0,0.0,36,3.3,0,50.0,6,6,6.7,2.37,0,0,0.0,50.0,3,7,0.0,7,38.9,0,-0.6,2,,,,,64.6,37.8,69.1,,38.1,,,,,,0,0,7,28.6,14.3,56.3,14.3,1,0,0,0,0,1,14.3,13,2.2
Isaiah Sanders,60319,QB,AIR FORCE,2,17,60.0,5,5,8.2,2.37,0,0,0.0,40.0,2,1,33.3,6,35.3,1,-0.59,1,,,,,64.2,68.5,68.6,,68.2,,,,,,0,0,6,16.7,100.0,47.9,16.7,1,0,0,0,0,0,0.0,10,2.0,0,101,81.9,64.0,37.6,70.6,30.0,10,10,17.9,3.17,0,0,0.0,20.0,2,1,33.3,11,64.7,1,-0.93,2,,,,,65.8,29.2,70.7,,29.4,,,,,,0,1,12,18.2,100.0,0.0,9.1,1,0,0,0,0,2,16.7,23,2.3,40.0,15,15,14.7,2.75,0,0,0.0,26.7,4,0,33.3,15,88.2,2,-0.72,3,,,,,66.5,37.8,71.6,,38.2,,,,,,0,1,16,20.0,,11.8,0.0,0,0,0,0,0,2,12.5,33,2.2,0,,0,0,,3.9,0,0,,,0,2,,2,11.8,0,-1.49,0,,,,,61.8,55.2,65.5,,55.4,,,,,,0,0,2,0.0,100.0,0.0,100.0,2,0,0,0,0,0,0.0,0,
Sam Allen,40209,QB,S JOSE ST,3,17,60.0,5,5,7.2,2.47,0,0,0.0,40.0,2,4,33.3,6,35.3,1,-1.33,1,,,,,64.2,63.3,68.6,,63.1,,,,,,0,1,6,33.3,25.0,9.2,16.7,1,0,0,0,0,0,0.0,16,3.2,0,285,70.7,41.5,30.9,65.2,37.5,8,8,15.8,2.92,0,0,0.0,37.5,3,3,0.0,11,64.7,0,-1.13,1,,,,,65.6,28.7,70.4,,27.2,,,64.3,,,0,1,11,18.2,66.7,6.3,18.2,2,1,0,0,0,2,18.2,24,3.0,50.0,10,10,13.8,2.19,0,0,0.0,50.0,5,0,0.0,10,58.8,0,-0.53,2,,,,,65.4,40.2,70.1,,40.5,,,,,,0,1,10,40.0,,20.8,0.0,0,0,0,0,0,1,10.0,40,4.0,0,33.3,3,3,8.0,3.57,0,0,0.0,0.0,0,7,100.0,7,41.2,1,-2.16,0,,,,,64.6,40.7,69.1,,31.9,,,64.3,,,0,1,7,0.0,42.9,0.0,42.9,3,1,0,0,0,1,14.3,0,0.0
Kaleb Barker,46494,QB,TROY,8,16,,0,0,,5.2,0,0,,,0,1,,1,6.3,0,-0.11,0,,,,,60.3,53.9,63.6,,,,,57.3,,,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,318,76.1,73.7,64.4,69.6,61.5,13,13,9.1,2.0,0,1,7.7,61.5,8,1,0.0,15,93.8,0,0.63,6,,,,,66.4,65.4,71.4,,64.4,,,61.6,,,0,0,15,53.3,0.0,124.8,0.0,0,2,0,0,1,1,6.7,143,11.0,61.5,13,13,9.1,1.86,0,1,7.7,61.5,8,0,0.0,14,87.5,0,0.68,6,,,,,66.2,68.1,71.2,,64.4,,,64.0,,,0,0,14,57.1,,124.8,0.0,0,1,0,0,1,1,7.1,143,11.0,0,,0,0,,4.55,0,0,,,0,2,,2,12.5,0,-0.12,0,,,,,61.8,47.1,65.5,,,,,52.9,,,0,0,2,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0,
Taylor Cornelius,46535,QB,OKLA STATE,4,13,66.7,6,6,15.2,2.13,0,0,0.0,66.7,4,3,0.0,7,53.8,0,0.43,3,,,,,64.6,68.6,69.1,,71.8,,,57.8,,,0,0,7,42.9,0.0,94.4,0.0,0,1,0,0,0,0,0.0,53,8.8,0,262,25.2,73.0,75.2,60.5,50.0,4,4,22.0,3.48,0,0,0.0,50.0,2,3,0.0,6,46.2,0,0.65,2,,,,,64.2,66.0,68.6,,71.5,,,56.7,,,0,0,6,33.3,33.3,95.8,16.7,1,1,0,0,0,0,0.0,95,23.8,57.1,7,7,20.7,2.11,0,0,0.0,57.1,4,0,0.0,7,53.8,0,0.89,3,,,,,64.6,71.0,69.1,,70.5,,,,,,0,0,7,42.9,,101.8,0.0,0,0,0,0,0,0,0.0,112,16.0,0,66.7,3,3,11.3,3.5,0,0,0.0,66.7,2,6,0.0,6,46.2,0,0.12,2,,,,,64.2,63.2,68.6,,73.4,,,52.6,,,0,0,6,33.3,16.7,107.6,16.7,1,2,0,0,0,0,0.0,36,12.0
Dalton Demos,32283,QB,COAST CAR,4,13,33.3,6,7,15.3,2.39,0,0,0.0,28.6,2,3,0.0,8,61.5,0,0.14,2,,,,,64.9,52.3,69.5,,46.6,,,64.2,,,0,0,8,25.0,0.0,39.6,0.0,0,1,0,1,0,0,0.0,18,2.6,0,141,49.4,65.2,42.2,68.2,50.0,4,4,4.5,4.04,0,0,0.0,25.0,1,2,50.0,5,38.5,1,-0.93,0,,,,,63.8,44.1,68.1,,46.3,,,57.8,,,0,1,5,20.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,9,2.3,42.9,7,8,10.9,2.25,0,0,0.0,25.0,2,0,33.3,8,61.5,1,-0.99,0,,,,,64.9,44.9,69.5,,45.0,,,,,,0,1,8,12.5,,0.0,0.0,0,0,0,1,0,0,0.0,11,1.4,0,33.3,3,3,11.3,4.26,0,0,0.0,33.3,1,5,0.0,5,38.5,0,0.89,2,,,,,63.8,53.7,68.1,,48.6,,,62.5,,,0,0,5,40.0,0.0,52.1,0.0,0,2,0,0,0,0,0.0,16,5.3
Drew Eckels,27245,QB,W KENTUCKY,4,13,33.3,3,3,5.3,2.0,0,0,0.0,33.3,1,1,0.0,3,23.1,0,-0.94,0,,,,,63.3,45.7,67.4,,45.9,,,,,,0,0,4,0.0,0.0,42.4,0.0,0,0,0,0,0,0,0.0,2,0.7,0,346,72.5,58.9,51.0,65.1,87.5,8,8,10.1,2.69,0,1,12.5,87.5,7,4,0.0,10,76.9,0,-0.32,3,,,,,65.4,57.8,70.1,,57.6,,,,,,0,1,10,40.0,50.0,70.8,20.0,2,0,0,0,0,1,10.0,84,10.5,87.5,8,8,6.8,1.99,0,1,11.1,87.5,7,0,0.0,8,61.5,0,-0.23,2,,,,,65.1,68.2,69.8,,67.8,,,,,,0,0,9,37.5,,108.9,0.0,0,0,0,0,0,0,0.0,81,10.1,0,33.3,3,3,14.3,3.4,0,0,0.0,33.3,1,5,0.0,5,38.5,0,-0.84,1,,,,,63.8,31.9,68.1,,32.3,,,,,,0,1,5,20.0,40.0,2.8,40.0,2,0,0,0,0,1,20.0,5,1.7
Kyle Banks,39934,QB,MIDDLE TN,2,13,0.0,1,1,30.0,2.0,0,0,0.0,0.0,0,0,,1,7.7,0,-2.67,0,,,,,60.3,51.8,63.6,,52.1,,,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,224,70.5,48.4,38.9,62.3,70.0,10,10,8.9,1.81,0,0,0.0,60.0,6,1,14.3,12,92.3,1,-0.56,2,,,,,65.6,40.7,70.7,,40.8,,,,,,0,0,12,33.3,200.0,72.5,16.7,2,0,0,0,0,1,8.3,49,4.9,63.6,11,11,10.8,1.71,0,0,0.0,54.5,6,0,14.3,12,92.3,1,-0.66,2,,,,,65.6,39.1,70.7,,39.3,,,,,,0,0,12,33.3,,66.1,8.3,1,0,0,0,0,1,8.3,49,4.5,0,,0,0,,3.2,0,0,,,0,1,,1,7.7,0,-1.4,0,,,,,60.3,59.7,63.6,,60.0,,,,,,0,0,1,0.0,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Brett Kean,46591,QB,USF,4,13,42.9,7,7,9.3,1.9,0,0,0.0,42.9,3,2,0.0,7,53.8,0,-0.33,2,,,,,64.6,47.4,69.1,,47.6,,,,,,0,0,7,42.9,0.0,55.7,0.0,0,0,0,0,0,1,14.3,30,4.3,0,327,69.3,57.5,61.2,52.7,100.0,4,4,6.8,2.77,0,0,0.0,100.0,4,1,0.0,6,46.2,0,0.45,3,,,,,64.2,74.0,68.6,,79.6,,,57.3,,,0,0,6,66.7,100.0,102.1,16.7,1,1,0,0,0,0,0.0,34,8.5,77.8,9,9,7.1,2.21,0,0,0.0,77.8,7,0,0.0,10,76.9,0,0.52,5,,,,,65.4,66.8,70.1,,69.8,,,57.3,,,0,0,10,70.0,,96.3,0.0,0,1,0,0,0,1,10.0,64,7.1,0,0.0,2,2,14.0,2.6,0,0,0.0,0.0,0,3,,3,23.1,0,-1.61,0,,,,,62.7,43.9,66.6,,44.1,,,,,,0,0,3,0.0,33.3,39.6,33.3,1,0,0,0,0,0,0.0,0,0.0
Tyrrell Pigrome,46511,QB,MARYLAND,1,12,100.0,6,6,19.3,2.45,0,2,33.3,100.0,6,0,0.0,6,50.0,0,1.93,5,,,,,64.6,95.2,70.1,,94.7,59.5,,64.0,,,0,0,7,83.3,,158.3,0.0,0,0,0,0,2,0,0.0,142,23.7,0,215,72.9,83.9,92.2,59.9,60.0,5,6,12.2,2.6,0,0,0.0,50.0,3,0,0.0,6,50.0,0,-0.91,1,,,,,64.2,65.5,68.6,,65.2,,,,,,0,1,6,33.3,,27.1,0.0,0,0,0,1,0,0,0.0,33,5.5,81.8,11,12,16.1,2.53,0,2,16.7,75.0,9,0,0.0,12,100.0,0,0.51,6,,,,,65.8,92.3,71.4,,92.2,59.5,,,,,0,1,12,58.3,,121.5,0.0,0,0,0,1,2,0,0.0,175,14.6,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,60.3,69.2,63.6,,,,,64.0,,,0,0,1,,,0.0,,0,0,0,0,0,0,0.0,0,
Micah Wilson,40104,QB,MISSOURI,4,12,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,229,46.5,43.4,34.3,57.0,66.7,9,10,7.1,1.99,0,0,0.0,50.0,5,2,16.7,12,100.0,1,-0.36,2,,,,,66.0,34.0,71.0,,34.3,,,,,,0,1,13,33.3,100.0,24.2,16.7,2,0,0,1,0,1,7.7,48,4.8,66.7,9,10,7.1,1.78,0,0,0.0,50.0,5,0,16.7,10,83.3,1,-0.11,2,,,,,65.6,34.5,70.4,,34.8,,,,,,0,1,11,40.0,,24.2,0.0,0,0,0,1,0,1,9.1,48,4.8,0,,0,0,,3.05,0,0,,,0,2,,2,16.7,0,-1.64,0,,,,,61.8,55.2,65.5,,55.4,,,,,,0,0,2,0.0,100.0,0.0,100.0,2,0,0,0,0,0,0.0,0,
Drew Barker,26947,QB,KENTUCKY,4,12,50.0,2,3,17.5,2.62,1,1,20.0,33.3,1,3,0.0,5,41.7,0,-0.36,1,,,,,64.6,64.5,69.1,,64.3,,,,,,0,0,7,20.0,66.7,68.8,40.0,2,0,0,0,0,0,0.0,28,9.3,0,202,21.7,49.2,64.5,36.4,75.0,4,4,11.3,3.47,0,0,0.0,75.0,3,4,0.0,7,58.3,0,-1.11,1,,,,,14.6,38.8,69.5,,62.5,,,43.2,,,0,0,8,14.3,50.0,86.5,28.6,2,1,0,0,0,1,12.5,21,5.3,66.7,3,4,5.0,3.06,1,0,0.0,50.0,2,0,0.0,5,41.7,0,-1.61,0,,,,,14.6,31.8,69.1,,57.6,,,43.2,,,0,0,7,0.0,,56.3,0.0,0,1,0,0,0,1,14.3,5,1.3,0,66.7,3,3,21.7,3.16,0,1,25.0,66.7,2,7,0.0,7,58.3,0,-0.21,2,,,,,64.6,68.3,69.5,,67.9,,,,,,0,0,8,28.6,57.1,109.7,57.1,4,0,0,0,0,0,0.0,44,14.7
Chase Forrest,28221,QB,CAL,2,12,100.0,2,2,1.5,2.25,0,0,0.0,100.0,2,0,0.0,2,16.7,0,-0.14,0,,,,,61.8,61.9,65.5,,61.7,,,,,,0,0,2,50.0,,89.6,0.0,0,0,0,0,0,0,0.0,11,5.5,0,130,65.8,49.6,50.6,57.3,37.5,8,8,11.4,2.81,0,1,12.5,37.5,3,4,0.0,10,83.3,0,-0.56,3,,,,,65.4,46.7,70.1,,48.8,,,57.3,,,0,0,10,40.0,25.0,55.2,10.0,1,1,0,0,0,1,10.0,42,5.3,57.1,7,7,7.6,2.65,0,0,0.0,57.1,4,0,0.0,8,66.7,0,-0.17,2,,,,,64.9,50.9,69.5,,53.5,,,57.3,,,0,0,8,50.0,,67.6,0.0,0,1,0,0,0,1,12.5,30,4.3,0,33.3,3,3,13.7,2.85,0,1,33.3,33.3,1,4,0.0,4,33.3,0,-1.14,1,,,,,63.3,51.6,67.4,,51.7,,,,,,0,0,4,25.0,25.0,61.8,25.0,1,0,0,0,0,0,0.0,23,7.7
Quentin Harris,26084,QB,DUKE,5,12,100.0,2,3,0.0,1.73,0,0,0.0,66.7,2,1,0.0,3,25.0,0,0.42,1,,,,,62.7,52.1,66.6,,52.1,,,,,,1,0,3,66.7,0.0,78.5,0.0,0,0,0,0,0,0,0.0,15,5.0,0,154,77.7,69.6,61.5,66.7,83.3,6,7,5.5,2.49,1,0,0.0,71.4,5,2,0.0,9,75.0,0,0.18,4,,,,,65.1,62.4,69.8,,66.3,,,57.0,,,0,0,9,55.6,50.0,135.7,11.1,1,1,0,0,1,0,0.0,58,8.3,85.7,7,8,4.4,2.18,1,0,0.0,75.0,6,0,0.0,9,75.0,0,0.54,5,,,,,65.1,60.1,69.8,,63.8,,,57.0,,,0,0,9,66.7,,140.1,0.0,0,1,0,0,1,0,0.0,69,8.6,1,100.0,1,2,2.0,2.67,0,0,0.0,50.0,1,3,0.0,3,25.0,0,-0.68,0,,,,,62.7,56.4,66.6,,56.4,,,,,,1,0,3,33.3,33.3,56.3,33.3,1,0,0,0,0,0,0.0,4,2.0
David Moore,40713,QB,MEMPHIS,3,12,85.7,7,7,4.7,2.71,0,0,0.0,71.4,5,1,16.7,8,66.7,1,0.87,1,,,,,64.9,55.6,69.5,,59.2,,,57.0,,,0,0,8,62.5,0.0,129.2,0.0,0,1,0,0,1,0,0.0,47,6.7,0,218,29.1,53.3,59.1,55.8,66.7,3,3,8.3,2.5,0,0,0.0,66.7,2,0,0.0,4,33.3,0,0.49,2,,,,,63.3,67.0,67.4,,59.6,,,64.2,,,0,0,4,50.0,,79.9,0.0,0,1,0,0,0,0,0.0,16,5.3,77.8,9,9,6.2,2.65,0,0,0.0,66.7,6,0,14.3,11,91.7,1,0.78,3,,,,,65.6,59.9,70.4,,58.5,,,61.4,,,0,0,11,54.5,,121.1,0.0,0,2,0,0,1,0,0.0,57,6.3,1,100.0,1,1,2.0,2.5,0,0,0.0,100.0,1,1,0.0,1,8.3,0,0.37,0,,,,,60.3,60.6,63.6,,60.4,,,,,,0,0,1,100.0,0.0,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Joe Burrow,28022,QB,OHIO STATE,4,12,0.0,2,2,16.0,2.3,0,0,0.0,0.0,0,1,,2,16.7,0,-2.0,0,,,,,61.8,46.7,65.5,,47.0,,,,,,0,0,2,0.0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,260,22.6,45.0,45.2,55.8,87.5,8,9,4.9,2.52,0,0,0.0,77.8,7,0,0.0,10,83.3,0,0.1,3,,,,,17.6,49.6,70.1,,49.6,,,,,,0,0,10,70.0,,94.9,10.0,1,0,0,1,0,2,20.0,61,6.8,77.8,9,10,7.2,2.53,0,0,0.0,70.0,7,0,0.0,11,91.7,0,-0.1,3,,,,,18.5,47.0,70.4,,47.0,,,,,,0,0,11,63.6,,85.8,9.1,1,0,0,1,0,2,18.2,61,6.1,0,0.0,1,1,6.0,2.0,0,0,0.0,0.0,0,1,,1,8.3,0,-1.97,0,,,,,60.3,53.4,63.6,,53.7,,,,,,0,0,1,0.0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ross Trail,13684,QB,CINCINNATI,1,11,75.0,4,4,5.0,1.78,0,0,0.0,50.0,2,1,33.3,5,45.5,1,-1.08,0,,,,,64.2,49.1,68.6,,49.2,,,,,,0,0,6,20.0,100.0,56.3,20.0,1,0,0,0,0,0,0.0,10,2.5,0,138,69.3,64.4,55.9,69.5,60.0,5,5,6.2,2.75,0,0,0.0,60.0,3,3,0.0,6,54.5,0,-0.48,1,,,,,64.2,64.2,68.6,,64.0,,,,,,0,0,6,33.3,33.3,69.6,16.7,1,0,0,0,0,0,0.0,21,4.2,57.1,7,7,4.6,1.79,0,0,0.0,42.9,3,0,25.0,7,63.6,1,-0.74,0,,,,,64.9,50.0,69.5,,50.0,,,,,,0,0,8,14.3,,50.3,0.0,0,0,0,0,0,0,0.0,11,1.6,0,100.0,2,2,9.5,3.23,0,0,0.0,100.0,2,4,0.0,4,36.4,0,-0.77,1,,,,,63.3,67.2,67.4,,66.9,,,,,,0,0,4,50.0,50.0,108.3,50.0,2,0,0,0,0,0,0.0,20,10.0
A.J. Bush Jr.,60595,QB,VA TECH,3,11,66.7,3,3,15.3,2.23,0,0,0.0,33.3,1,2,50.0,3,27.3,1,-0.34,1,,,,,63.3,72.6,67.4,,72.2,,,,,,0,0,4,33.3,0.0,52.1,0.0,0,0,0,0,0,0,0.0,16,5.3,0,337,76.7,74.7,71.1,67.4,75.0,8,8,14.1,2.21,0,0,0.0,75.0,6,1,0.0,8,72.7,0,1.15,5,,,,,65.1,66.7,69.8,,66.4,,,,,,0,0,9,75.0,0.0,147.4,0.0,0,0,0,0,1,0,0.0,83,10.4,75.0,8,8,13.8,2.06,0,0,0.0,75.0,6,0,0.0,8,72.7,0,0.85,5,,,,,65.1,65.9,69.8,,65.6,,,,,,0,0,9,75.0,,149.0,0.0,0,0,0,0,1,0,0.0,86,10.8,0,66.7,3,3,16.3,2.63,0,0,0.0,33.3,1,3,50.0,3,27.3,1,0.47,1,,,,,63.3,73.9,67.4,,73.4,,,,,,0,0,4,33.3,0.0,47.9,0.0,0,0,0,0,0,0,0.0,13,4.3
J.J. Cosentino,28282,QB,FLORIDA ST,3,11,100.0,7,7,4.9,1.96,0,1,14.3,85.7,6,2,14.3,7,63.6,1,0.21,2,,,,,64.6,73.6,69.1,,73.2,,,,,,0,0,7,42.9,0.0,131.3,0.0,0,0,0,0,1,0,0.0,42,6.0,0,167,21.0,51.4,58.3,48.3,50.0,4,4,11.8,2.78,0,0,0.0,50.0,2,3,0.0,4,36.4,0,0.1,2,,,,,63.3,41.0,67.4,,41.3,,,,,,0,0,4,50.0,0.0,60.4,0.0,0,0,0,0,0,0,0.0,16,4.0,100.0,6,6,5.2,2.08,0,1,16.7,83.3,5,0,16.7,6,54.5,1,0.98,3,,,,,64.2,73.2,68.6,,72.8,,,,,,0,0,6,66.7,,134.0,0.0,0,0,0,0,1,0,0.0,40,6.7,0,60.0,5,5,10.0,2.46,0,0,0.0,60.0,3,5,0.0,5,45.5,0,-0.81,1,,,,,63.8,43.6,68.1,,43.8,,,,,,0,0,5,20.0,0.0,67.1,0.0,0,0,0,0,0,0,0.0,18,3.6
Chance Thrasher,54512,QB,COAST CAR,1,11,33.3,6,6,11.8,2.13,0,0,0.0,33.3,2,1,0.0,6,54.5,0,-1.1,1,,,,,64.2,25.0,68.6,,25.4,,,,,,0,2,6,16.7,0.0,2.8,0.0,0,0,0,0,0,2,33.3,6,1.0,0,141,68.5,34.0,27.6,69.4,75.0,4,4,12.0,2.64,0,0,0.0,75.0,3,2,0.0,5,45.5,0,1.01,3,,,,,63.8,60.4,68.1,,53.7,,,64.0,,,0,0,5,80.0,0.0,109.4,0.0,0,1,0,0,0,0,0.0,43,10.8,50.0,8,8,11.9,2.09,0,0,0.0,50.0,4,0,0.0,8,72.7,0,-0.32,2,,,,,64.9,25.9,69.5,,26.2,,,,,,0,2,8,37.5,,22.4,0.0,0,0,0,0,0,2,25.0,35,4.4,0,50.0,2,2,12.0,3.1,0,0,0.0,50.0,1,3,0.0,3,27.3,0,0.34,2,,,,,62.7,67.4,66.6,,59.4,,,64.0,,,0,0,3,66.7,0.0,72.9,0.0,0,1,0,0,0,0,0.0,14,7.0
K.J. Carta-Samuels,46525,QB,WASHINGTON,4,11,80.0,5,5,6.2,3.07,0,0,0.0,80.0,4,2,0.0,6,54.5,0,-0.06,4,,,,,14.6,45.6,69.1,,45.7,,,,,,0,0,7,66.7,50.0,100.0,16.7,1,0,0,0,0,1,14.3,40,8.0,0,340,14.0,46.8,48.3,49.0,80.0,5,5,10.0,2.38,0,0,0.0,80.0,4,0,0.0,5,45.5,0,0.3,2,,,,,63.8,57.6,68.1,,57.5,,,,,,0,0,5,60.0,,101.7,0.0,0,0,0,0,0,0,0.0,42,8.4,77.8,9,9,8.3,2.79,0,0,0.0,77.8,7,0,0.0,9,81.8,0,0.6,5,,,,,65.4,57.5,70.1,,57.4,,,,,,0,0,10,66.7,,101.4,0.0,0,0,0,0,0,0,0.0,75,8.3,0,100.0,1,1,6.0,2.6,0,0,0.0,100.0,1,2,0.0,2,18.2,0,-2.14,1,,,,,9.2,36.3,65.5,,36.9,,,,,,0,0,2,50.0,50.0,95.8,50.0,1,0,0,0,0,1,50.0,7,7.0
