canonical_name,join_name,draft_season,colleges,pff_player_id,final_grades_grades_pass,final_grades_grades_offense,final_grades_accuracy_percent,final_grades_btt_rate,final_grades_twp_rate,final_grades_ypa,final_grades_avg_depth_of_target,final_grades_avg_time_to_throw,final_grades_completion_percent,final_grades_sack_percent,final_grades_pressure_to_sack_rate,final_grades_positive_epa_percent,final_grades_epa,final_grades_dropbacks,final_grades_qb_rating,career_grades_grades_pass,career_grades_grades_offense,career_grades_accuracy_percent,career_grades_btt_rate,career_grades_twp_rate,career_grades_ypa,career_grades_avg_depth_of_target,career_grades_avg_time_to_throw,career_grades_completion_percent,career_grades_sack_percent,career_grades_pressure_to_sack_rate,career_grades_positive_epa_percent,career_grades_epa,career_grades_dropbacks,career_grades_qb_rating,final_pressure_pressure_accuracy_percent,final_pressure_pressure_grades_pass,final_pressure_pressure_twp_rate,final_pressure_pressure_sack_percent,final_pressure_no_pressure_accuracy_percent,final_pressure_no_pressure_grades_pass,final_pressure_blitz_accuracy_percent,final_pressure_blitz_grades_pass,final_depth_deep_attempts_percent,final_depth_deep_accuracy_percent,final_depth_deep_btt_rate,final_depth_deep_ypa,final_depth_medium_accuracy_percent,final_depth_short_accuracy_percent,final_average_ppa_pass,career_average_ppa_pass,combine_height,combine_weight,combine_forty,combine_vertical,combine_broad,combine_three_cone,combine_short_shuttle,combine_ras_score,combine_bmi,cfbd_ppa_pass_delta,college_seasons_count,college_career_dropbacks_total,college_seasons_150plus_dropbacks,traj_delta_grades_grades_pass,traj_delta_grades_ypa,traj_delta_grades_twp_rate,traj_delta_grades_accuracy_percent,pick,round,log_pick,day
Jack Kwiatkowski,jack kwiatkowski,2016,Eastern Illinois,26253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.145,-2.145,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Todd Porter,todd porter,2017,Eastern Michigan,26264.0,70.7,66.9,65.9,3.4,5.5,7.5,9.7,2.41,61.3,1.9,6.1,48.1,-0.03,158.0,74.5,70.7,66.9,65.9,3.3999999999999995,5.5,7.5,9.7,2.41,61.3,1.9,6.1,48.1,-0.03,158.0,74.5,55.0,50.7,12.2,4.1,70.4,78.9,71.4,75.4,12.0,29.4,20.0,9.4,58.7,72.7,0.204,0.204,,,,,,,,,,0.0,1,158.0,1.0,,,,,,,,
Isaac Holder,isaac holder,2019,Eastern Michigan,26315.0,74.1,59.4,50.0,0.0,0.0,17.0,18.5,4.03,50.0,0.0,,33.3,0.38,3.0,135.4,75.89999999999999,62.1125,68.75,0.0,12.5,27.6125,24.325,3.76,68.75,0.0,0.0,62.4875,1.37,2.75,124.2125,,,,,50.0,74.1,,,50.0,100.0,0.0,34.0,0.0,,,,,,,,,,,,,,3,8.0,0.0,-18.0,-18.299999999999997,0.0,-50.0,,,,
Austin Green,austin green,2017,Eastern Illinois,26323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,0.558,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Ryan Graham,ryan graham,2018,Northern Illinois,26338.0,49.8,55.6,52.8,2.4,4.9,5.0,12.7,2.11,39.5,0.0,0.0,34.2,-0.17,38.0,62.4,46.74093959731543,48.62953020134229,62.71275167785235,2.5664429530201343,5.475838926174497,5.940939597315436,9.76241610738255,2.3603355704697986,53.32281879194631,5.008053691275167,22.08590604026845,37.26442953020134,-0.2035570469798657,118.3758389261745,75.7973154362416,50.0,47.0,6.7,0.0,54.2,54.8,44.0,39.8,28.9,18.2,0.0,1.4,87.5,62.5,0.148,0.1323333333333333,,,,,,,,,,0.01566666666666669,3,298.0,0.0,-2.6000000000000014,-0.40000000000000036,0.6000000000000005,-13.299999999999997,,,,
Gage Gubrud,gage gubrud,2020,Eastern Washington;Washington State,26351.0,79.1,76.9,90.9,0.0,0.0,6.8,6.4,2.32,76.9,0.0,0.0,50.0,0.26,14.0,120.4,79.1,76.9,90.9,0.0,0.0,6.8,6.4,2.32,76.9,0.0,0.0,50.0,0.26,14.0,120.4,50.0,71.1,0.0,0.0,100.0,76.6,100.0,70.5,0.0,,,,100.0,85.7,0.607,0.37575,,,,,,,,,,0.23125,2,14.0,0.0,,,,,,,,
Thomas Woodson,thomas woodson,2018,Akron,26372.0,67.3,66.1,65.3,4.6,5.1,6.4,11.4,2.47,57.2,5.3,18.2,40.5,-0.08,304.0,79.5,64.74386129334583,67.14695407685097,64.2249297094658,6.439643861293346,5.2004686035613865,7.045360824742268,12.172914714151828,2.53514526710403,55.86007497656982,4.2253045923149015,13.613214620431114,43.17638238050609,-0.0164292408622305,281.5042174320525,82.03355201499532,54.8,46.9,6.3,17.0,68.4,75.3,63.4,72.3,21.2,28.8,17.6,7.9,58.0,79.5,0.15,0.2503333333333333,,,,,,,,,,-0.1003333333333333,4,1067.0,4.0,-6.200000000000003,-2.1999999999999993,-0.40000000000000036,-2.799999999999997,,,,
La'Mical Perine,lamical perine,2020,Florida,26408.0,72.6,75.4,0.0,0.0,0.0,0.0,11.0,2.9,0.0,0.0,0.0,0.0,-0.89,1.0,39.6,72.6,75.4,0.0,0.0,0.0,0.0,11.0,2.9,0.0,0.0,0.0,0.0,-0.89,1.0,39.6,0.0,72.6,0.0,0.0,,,0.0,72.6,0.0,,,,0.0,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Kaylon Watson,kaylon watson,2016,UL Monroe,26429.0,60.0,54.2,,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0.0,-0.62,1.0,39.6,60.0,54.2,,0.0,0.0,0.0,,1.5,0.0,0.0,0.0,0.0,-0.62,1.0,39.6,,60.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Johnny McCrary,johnny mccrary,2016,Vanderbilt,26439.0,41.6,44.1,68.1,4.0,7.6,5.7,8.1,2.7,54.7,6.2,16.5,40.3,-0.22,305.0,60.3,48.56581196581197,49.53333333333333,65.69679487179486,4.522435897435898,6.903418803418804,5.978632478632479,8.796581196581197,2.6616880341880345,53.51581196581197,4.911324786324786,13.365384615384617,40.78760683760684,-0.1886538461538461,255.54273504273505,63.57393162393162,62.0,36.4,8.3,15.7,70.6,48.6,66.1,53.1,10.9,24.1,9.7,7.1,55.6,76.8,-0.012,0.076,,,,,,,,,,-0.088,2,468.0,2.0,-20.0,-0.7999999999999998,2.0,6.8999999999999915,,,,
DeVante Kincade,devante kincade,2017,Grambling;Ole Miss,26446.0,,,,,,,,,,,,,,,,46.98604651162791,47.3093023255814,74.07674418604651,5.695348837209302,6.869767441860464,5.723255813953489,5.16046511627907,2.81093023255814,71.42790697674418,4.630232558139536,18.004651162790697,34.87674418604651,-0.113953488372093,22.44186046511628,104.06046511627908,,,,,,,,,,,,,,,-0.041,-0.041,,,,,,,,,,0.0,3,43.0,0.0,,,,,,,,
Nyqwan Murray,nyqwan murray,2019,Florida State,26456.0,50.1,74.8,0.0,0.0,0.0,0.0,33.0,4.25,0.0,0.0,,50.0,0.02,2.0,39.6,50.1,74.8,0.0,0.0,0.0,0.0,33.0,4.25,0.0,0.0,,50.0,0.02,2.0,39.6,,,,,0.0,50.1,,,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,2.0,0.0,,,,,,,,
Trae Pilster,trae pilster,2017,Idaho State,26464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Frank Nutile,frank nutile,2019,Temple,26476.0,60.4,61.5,69.0,5.1,7.2,7.5,9.9,2.47,53.8,6.0,20.0,44.6,-0.09,83.0,68.6,66.34308681672026,66.26270096463023,68.5684887459807,5.878456591639871,4.718006430868167,7.794533762057879,10.290032154340835,2.4733440514469454,58.847266881028936,4.469453376205788,14.157234726688102,45.34951768488746,0.1064951768488745,182.09324758842445,85.41221864951767,66.7,71.6,4.0,20.0,69.8,54.6,71.0,79.1,15.4,33.3,16.7,11.2,80.0,73.0,0.357,0.671,,,,,,,,,,-0.31400000000000006,4,311.0,1.0,-8.199999999999996,-0.40000000000000036,3.3000000000000003,0.4000000000000057,,,,
Teddy Veal,teddy veal,2018,Louisiana Tech,26490.0,60.4,79.0,100.0,0.0,0.0,0.0,4.0,4.1,0.0,0.0,,0.0,-0.67,1.0,39.6,60.4,79.0,100.0,0.0,0.0,0.0,4.0,4.1,0.0,0.0,,0.0,-0.67,1.0,39.6,,,,,100.0,60.4,100.0,60.4,0.0,,,,,100.0,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Nick Jeanty,nick jeanty,2018,New Mexico State,26496.0,62.0,66.1,76.9,2.8,4.0,5.4,5.5,2.06,67.6,4.0,13.0,45.3,-0.25,75.0,62.0,58.02769953051643,58.02957746478873,69.818779342723,4.564788732394366,4.481220657276995,5.395305164319249,7.050234741784037,2.337934272300469,58.65305164319248,5.177464788732395,15.620657276995304,39.44084507042253,-0.1322535211267605,94.5868544600939,71.32112676056339,73.3,44.4,8.7,13.0,78.0,70.8,73.9,64.2,5.6,25.0,25.0,5.5,36.4,82.1,-0.417,-0.14475,,,,,,,,,,-0.27225,3,213.0,0.0,-6.200000000000003,-1.1999999999999993,4.0,3.6000000000000085,,,,
Andrew Allen,andrew allen,2017,Lamar;New Mexico State,26510.0,,,,,,,,,,,,,,,,59.51223776223776,57.41503496503497,68.07202797202797,4.184965034965035,5.735314685314685,7.124125874125874,10.242307692307692,2.715629370629371,54.22377622377623,7.652447552447552,22.88216783216783,35.07587412587413,-0.1128671328671328,243.6993006993007,83.54475524475525,,,,,,,,,,,,,,,,,,,,,,,,,,,3,286.0,1.0,,,,,,,,
Jalen Jones,jalen jones,2020,ST Augstne,26560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Wesley Wolfolk,wesley wolfolk,2020,Morgan State,26579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Jordan Wilkins,jordan wilkins,2015,Ole Miss,26618.0,41.1,66.3,0.0,0.0,100.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0,-1.05,1.0,39.6,41.1,66.3,0.0,0.0,100.0,0.0,6.0,2.5,0.0,0.0,0.0,0.0,-1.05,1.0,39.6,0.0,41.1,100.0,0.0,,,0.0,41.1,,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Dane Roy,dane roy,2017,Houston,26632.0,75.4,72.0,100.0,0.0,0.0,15.0,13.0,2.7,100.0,0.0,,100.0,4.34,1.0,118.8,75.4,72.0,100.0,0.0,0.0,15.0,13.0,2.7,100.0,0.0,,100.0,4.34,1.0,118.8,,,,,100.0,75.4,,,0.0,,,,100.0,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
D'Eriq King,deriq king,2022,Houston;Miami,26636.0,82.3,81.3,79.1,4.6,3.1,6.2,7.8,2.9,65.3,6.0,21.4,44.4,-0.11,151.0,76.9,83.33349514563106,86.20250809061488,73.1418284789644,6.1549352750809065,2.1914239482200646,7.9346278317152095,9.988996763754043,2.724894822006472,62.54352750809062,5.6000000000000005,20.410517799352757,45.05800970873787,0.1989401294498382,302.2653721682848,103.48025889967636,,,,,,,,,6.5,62.5,30.8,15.6,71.0,79.6,0.211,0.3211666666666667,69.0,196.0,,,,,,,28.94097878596933,-0.11016666666666672,6,1236.0,4.0,-5.900000000000006,-1.8999999999999995,1.4000000000000001,6.8999999999999915,,,,
Jason Collins,jason collins,2017,Howard,26639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,0.389,,,,,,,,,,0.02899999999999997,1,0.0,0.0,,,,,,,,
Shawn Stankavage,shawn stankavage,2019,Rice;Vanderbilt,26668.0,52.3,51.5,66.2,3.1,5.1,5.9,8.3,2.52,55.2,6.3,20.5,36.5,-0.19,252.0,69.0,52.33201581027667,51.53913043478261,66.33359683794467,3.087747035573123,5.079841897233201,5.900395256916997,8.263241106719368,2.5254545454545454,55.37707509881424,6.275098814229248,20.5,36.75098814229249,-0.1882608695652174,251.0079051383399,69.0897233201581,54.5,44.6,6.3,20.5,69.4,57.4,65.5,51.8,11.2,44.0,28.0,14.7,47.5,75.0,0.15,0.2615,,,,,,,,,,-0.11150000000000002,2,253.0,1.0,-8.100000000000001,-0.09999999999999964,5.1,-33.8,,,,
Tanner Gueller,tanner gueller,2017,Idaho State,26687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,-0.04425,,,,,,,,,,0.34725,2,0.0,0.0,,,,,,,,
Ryan Rubley,ryan rubley,2017,Tulsa,26703.0,59.6,62.0,63.6,0.0,0.0,8.4,7.7,2.21,63.6,13.3,50.0,53.3,0.23,15.0,120.3,59.6,62.0,63.6,0.0,0.0,8.4,7.7,2.21,63.6,13.3,50.0,53.3,0.23,15.0,120.3,50.0,66.6,0.0,50.0,66.7,55.4,33.3,65.3,9.1,0.0,0.0,0.0,75.0,60.0,0.452,0.452,,,,,,,,,,0.0,1,15.0,0.0,,,,,,,,
Ryan Buchanan,ryan buchanan,2016,Ole Miss,26731.0,43.7,34.5,75.0,0.0,6.7,7.4,5.2,1.92,61.5,0.0,0.0,53.8,-0.05,13.0,91.7,43.7,39.73888888888889,72.69999999999999,0.0,4.9750000000000005,4.844444444444445,3.9222222222222234,2.118055555555556,57.02777777777778,0.0,0.0,36.10277777777778,-0.5611111111111111,19.38888888888889,60.458333333333336,100.0,77.1,0.0,0.0,70.0,34.9,75.0,58.9,0.0,,0.0,,33.3,83.3,0.051,-0.1159999999999999,,,,,,,,,,0.1669999999999999,2,36.0,0.0,0.0,4.0,2.7,3.5999999999999943,,,,
Peyton Bender,peyton bender,2019,Kansas;Washington State,26736.0,57.2,58.6,67.9,4.8,4.3,5.9,8.7,2.38,56.8,6.5,27.7,38.0,-0.07,355.0,83.7,56.019200000000005,56.0096,65.48213333333334,4.055066666666667,4.899066666666667,5.874933333333335,8.883199999999999,2.4156133333333334,55.97213333333333,6.0061333333333335,24.186666666666667,37.07386666666667,-0.1728133333333333,300.616,75.6396,51.0,39.3,3.5,24.1,71.2,64.2,70.0,58.6,15.8,43.1,25.5,10.2,48.0,75.5,0.127,0.0853333333333333,,,,,,,,,,0.0416666666666667,3,750.0,2.0,0.6000000000000014,0.0,0.09999999999999964,5.400000000000006,,,,
Jordan Williams,jordan williams,2017,Jackson State,26810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,-0.3976666666666666,,,,,,,,,,0.0676666666666666,1,0.0,0.0,,,,,,,,
Brent Lyles,brent lyles,2017,Jackson State,26811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.157,-0.7645000000000001,,,,,,,,,,0.6075,1,0.0,0.0,,,,,,,,
Keaton Perry,keaton perry,2016,Kansas,26825.0,40.1,28.6,75.0,0.0,16.7,3.3,9.3,2.65,33.3,0.0,0.0,16.7,-0.82,6.0,43.8,40.1,28.600000000000005,75.0,0.0,16.7,3.2999999999999994,9.3,2.65,33.3,0.0,0.0,16.7,-0.82,6.0,43.79999999999999,100.0,70.1,0.0,0.0,66.7,29.1,,,16.7,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,1,6.0,0.0,,,,,,,,
Keaton Studsrud,keaton studsrud,2017,North Dakota,26857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,0.2746666666666666,,,,,,,,,,0.06233333333333341,2,0.0,0.0,,,,,,,,
Zach Werlinger,zach werlinger,2017,Arizona,26894.0,39.7,38.6,20.0,0.0,0.0,0.0,14.2,3.18,0.0,16.7,33.3,0.0,-1.33,6.0,39.6,39.7,38.6,20.0,0.0,0.0,0.0,14.199999999999998,3.18,0.0,16.7,33.3,0.0,-1.33,6.0,39.6,0.0,49.6,0.0,33.3,33.3,41.7,0.0,39.3,20.0,0.0,0.0,0.0,0.0,50.0,,-0.674,,,,,,,,,,,1,6.0,0.0,,,,,,,,
Coltin Gerhart,coltin gerhart,2019,New Mexico,26907.0,44.8,49.1,58.5,5.0,13.2,4.8,11.2,2.71,48.2,18.1,50.0,26.4,-0.57,72.0,57.6,54.32285714285714,58.93714285714286,61.07714285714286,4.402857142857143,9.051428571428572,5.177142857142856,10.822857142857144,2.681714285714286,50.871428571428574,13.354285714285714,36.26571428571429,32.402857142857144,-0.3908571428571428,59.74285714285714,57.6,66.7,42.9,13.8,50.0,56.8,49.6,56.5,38.0,21.4,33.3,23.1,8.9,35.7,76.5,-0.104,0.0335,,,,,,,,,,-0.1375,2,105.0,0.0,-30.299999999999997,-1.2000000000000002,13.2,-8.200000000000003,,,,
Blake Bogenschutz,blake bogenschutz,2016,UTSA,26913.0,42.1,38.0,66.7,1.4,6.6,6.5,8.6,2.24,58.3,6.5,27.8,42.6,-0.11,155.0,72.9,40.99509803921568,36.05441176470588,65.61911764705881,1.616176470588235,7.272549019607843,6.668137254901961,8.33578431372549,2.276029411764706,57.84362745098039,7.388725490196078,31.13872549019608,40.70245098039215,-0.153235294117647,129.5392156862745,69.29705882352941,60.9,38.1,9.5,27.8,67.9,47.3,65.3,59.8,10.1,21.4,5.9,4.4,55.3,76.1,0.156,0.0119999999999999,,,,,,,,,,0.1440000000000001,2,204.0,1.0,4.600000000000001,-0.7000000000000002,-2.8000000000000007,4.5,,,,
Chad Leckington,chad leckington,2016,Weber State,26919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Mylik Mitchell,mylik mitchell,2017,Kent State,26942.0,46.5,49.3,63.5,4.2,6.7,5.4,9.9,3.13,55.9,12.0,33.3,35.0,-0.18,100.0,89.5,46.5,49.3,63.5,4.2,6.7,5.4,9.9,3.13,55.9,12.0,33.3,35.0,-0.18,100.0,89.5,50.0,41.6,2.6,33.3,66.7,52.0,60.0,49.1,17.6,41.7,25.0,11.6,46.2,66.7,-0.131,-0.131,,,,,,,,,,0.0,1,100.0,0.0,,,,,,,,
Kavious Price,kavious price,2020,Kent State,26943.0,78.9,61.1,50.0,50.0,0.0,5.0,7.0,5.05,50.0,50.0,66.7,25.0,-1.25,4.0,104.2,65.51428571428572,58.42857142857143,42.85714285714285,28.571428571428573,23.8,5.428571428571429,10.571428571428571,4.942857142857142,42.85714285714285,28.571428571428573,53.36,28.571428571428573,-1.86,3.0,82.77142857142857,0.0,56.5,0.0,66.7,100.0,85.9,100.0,83.4,0.0,,,,100.0,,,,,,,,,,,,,,3,7.0,0.0,31.300000000000004,-4.0,-33.3,0.0,,,,
Drew Barker,drew barker,2018,Kentucky,26947.0,64.5,49.2,66.7,10.0,6.7,7.0,13.3,3.12,57.1,33.3,57.1,16.7,-0.8,12.0,78.9,36.32244897959183,35.710204081632654,64.09591836734694,4.204081632653061,9.73877551020408,6.587755102040817,8.771428571428572,3.145918367346938,50.62244897959183,11.544897959183674,25.948979591836736,25.851020408163265,-0.380204081632653,68.14285714285714,66.23469387755102,66.7,67.9,0.0,57.1,66.7,57.6,50.0,64.3,28.6,50.0,33.3,14.0,100.0,66.7,-0.103,-0.0223333333333333,,,,,,,,,,-0.08066666666666669,3,147.0,0.0,35.0,-2.0,-5.499999999999999,0.0,,,,
Jared Lebowitz,jared lebowitz,2015,UNLV,26965.0,48.4,50.4,59.6,1.5,7.4,5.3,12.1,2.67,40.3,3.1,11.1,29.7,-0.45,64.0,56.5,48.4,50.4,59.6,1.5,7.4,5.3,12.1,2.67,40.3,3.1,11.1,29.7,-0.45,64.0,56.5,36.4,29.1,15.8,11.1,65.2,61.3,61.8,34.1,,,,,,,-0.176,-0.176,,,,,,,,,,0.0,1,64.0,0.0,,,,,,,,
Cody Callaway,cody callaway,2015,Bowling Green,26968.0,68.9,54.9,61.5,7.4,5.7,5.9,16.6,3.13,46.2,14.7,45.5,35.3,-0.51,34.0,61.9,68.9,54.9,61.5,7.4,5.7,5.9,16.6,3.13,46.2,14.7,45.5,35.3,-0.51,34.0,61.9,0.0,29.6,9.1,45.5,72.7,84.8,45.5,46.1,,,,,,,0.149,0.149,,,,,,,,,,0.0,1,34.0,0.0,,,,,,,,
Yannis Routsas,yannis routsas,2018,UTSA,26978.0,58.3,36.5,100.0,0.0,0.0,1.5,0.0,2.5,50.0,0.0,0.0,0.0,-2.46,2.0,56.3,61.42,37.82000000000001,100.0,0.0,0.0,7.019999999999999,-0.4199999999999999,2.122,80.0,0.0,0.0,40.02,-0.0179999999999999,2.6,89.17999999999999,,59.4,0.0,0.0,100.0,60.6,,,0.0,,,,,100.0,,,,,,,,,,,,,2,5.0,0.0,-5.200000000000003,-9.2,0.0,0.0,,,,
Jarin Morikawa,jarin morikawa,2016,Jackson State,26980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.023,,,,,,,,,,0.0,1,0.0,0.0,,,,,,,,
Dalton Etheridge,dalton etheridge,2020,Jacksonville State,26993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,
Ja'Marcus Bradley,jamarcus bradley,2019,Louisiana,27003.0,72.6,82.8,100.0,0.0,0.0,21.0,16.0,4.2,100.0,0.0,,100.0,1.36,1.0,118.8,50.12,67.2,20.0,0.0,0.0,4.2,21.04,4.92,20.0,0.0,0.0,40.0,-0.0559999999999999,3.4,55.44,,,,,100.0,72.6,,,0.0,,,,100.0,,,,,,,,,,,,,,2,5.0,0.0,28.099999999999994,21.0,0.0,100.0,,,,
J'mar Smith,jmar smith,2020,Louisiana Tech,27005.0,82.3,82.8,72.0,5.1,1.8,8.1,8.3,2.65,64.1,6.2,21.5,48.1,0.15,422.0,99.6,74.75653638814018,74.09919137466308,70.75330188679244,5.038948787061994,3.085309973045822,7.396900269541779,9.45289757412399,2.695808625336927,59.12877358490567,5.993598382749326,18.671630727762803,43.11664420485175,0.0336590296495956,466.64824797843664,88.48443396226415,50.0,61.6,3.0,20.7,77.1,87.6,70.5,74.2,13.8,49.0,30.9,14.0,60.8,71.9,0.355,0.2613333333333333,,,,,,,,,,0.09366666666666668,4,1484.0,3.0,9.700000000000003,1.2999999999999998,-1.3,1.7000000000000028,,,,
Coleman Key,coleman key,2016,Colorado State,27027.0,50.0,42.6,52.5,0.0,7.5,5.7,13.5,2.72,47.7,3.9,13.3,36.5,-0.43,51.0,59.9,50.0,42.6,52.5,0.0,7.5,5.7,13.5,2.72,47.7,3.9,13.3,36.5,-0.43,51.0,59.9,37.5,44.3,6.3,13.3,56.3,54.9,35.0,40.5,20.5,0.0,0.0,0.0,58.8,77.8,-0.018,-0.018,,,,,,,,,,0.0,1,51.0,0.0,,,,,,,,
Demario Richard,demario richard,2017,Arizona State,27031.0,60.4,67.0,100.0,0.0,0.0,2.0,-5.0,0.9,100.0,0.0,,0.0,-0.57,1.0,79.2,60.4,67.0,100.0,0.0,0.0,2.0,-5.0,0.9,100.0,0.0,,0.0,-0.57,1.0,79.2,,,,,100.0,60.4,100.0,60.4,0.0,,,,,,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Giovanni Rescigno,giovanni rescigno,2019,Rutgers,27050.0,28.6,29.0,52.8,1.3,11.8,5.1,11.2,3.24,45.8,4.2,11.8,32.6,-0.28,95.0,48.7,47.90232558139535,47.51651162790698,61.12558139534884,2.875581395348837,5.733720930232559,5.192093023255814,9.30906976744186,2.997372093023256,49.11511627906977,7.684418604651163,18.28395348837209,30.907906976744187,-0.3451627906976744,155.8093023255814,61.3846511627907,35.0,25.7,13.2,11.8,59.6,40.2,53.8,42.2,16.7,25.0,8.3,6.3,34.5,80.0,-0.086,-0.037,,,,,,,,,,-0.048999999999999995,3,430.0,1.0,-29.799999999999997,0.0,6.9,-9.800000000000004,,,,
Andrew Ford,andrew ford,2019,Massachusetts,27063.0,87.1,88.5,76.2,5.4,2.0,7.7,9.8,2.56,64.8,7.3,18.4,48.7,0.1,193.0,93.5,78.6937069813176,80.21189773844641,72.52114060963619,6.171878072763029,3.3746312684365782,7.742281219272369,10.32487708947886,2.76220255653884,62.2511307767945,8.478564405113076,22.58151425762045,46.02743362831858,0.083952802359882,370.4473942969518,96.8889872173058,67.3,72.4,1.2,18.4,80.5,90.2,71.0,80.1,16.5,51.7,32.3,10.5,71.4,85.7,0.255,0.2796666666666667,,,,,,,,,,-0.02466666666666667,3,1017.0,3.0,5.299999999999997,-0.4999999999999991,-1.0,2.6000000000000085,,,,
Kevin Thomson,kevin thomson,2021,Sacramento State;Washington,27087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,0.2086666666666666,72.0,198.0,4.75,35.5,126.0,6.98,4.23,,26.850694444444443,-0.10266666666666661,1,0.0,0.0,,,,,,,,
Joseph Davidson,joseph davidson,2017,Bowling Green,27091.0,53.7,60.5,0.0,0.0,0.0,0.0,9.0,4.4,0.0,0.0,0.0,0.0,-1.79,1.0,0.0,53.7,60.5,0.0,0.0,0.0,0.0,9.0,4.4,0.0,0.0,0.0,0.0,-1.79,1.0,0.0,0.0,53.7,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,1,1.0,0.0,,,,,,,,
Colar Kuhns,colar kuhns,2017,Michigan State,27114.0,61.0,62.4,100.0,0.0,0.0,5.0,2.0,2.2,100.0,0.0,,0.0,-1.11,1.0,87.5,61.0,62.4,100.0,0.0,0.0,5.0,2.0,2.2,100.0,0.0,,0.0,-1.11,1.0,87.5,,,,,100.0,61.0,100.0,61.0,0.0,,,,,100.0,0.047,0.047,,,,,,,,,,0.0,1,1.0,0.0,,,,,,,,
Riley Ferguson,riley ferguson,2018,Memphis,27125.0,77.3,76.3,74.7,3.8,4.1,9.0,9.6,2.56,62.9,3.8,14.6,48.8,0.3,506.0,110.6,78.92852852852852,76.64544544544543,74.45325325325325,4.58958958958959,3.803903903903904,8.654554554554556,9.5013013013013,2.58960960960961,62.998698698698696,5.32982982982983,17.80770770770771,48.35585585585586,0.2161061061061061,499.5845845845846,107.2935935935936,62.8,53.2,5.7,14.6,77.5,84.1,73.3,66.2,16.0,46.1,13.1,14.3,71.0,81.3,0.451,0.4135,75.0,212.0,4.98,29.0,110.0,6.96,4.4,,26.49528888888889,0.03750000000000003,2,999.0,2.0,-3.299999999999997,0.6999999999999993,0.5999999999999996,0.5,,,,
Cade Apsay,cade apsay,2016,Colorado,27137.0,65.4,59.7,71.1,2.1,2.6,6.3,7.8,2.67,64.1,12.5,34.1,45.1,-0.12,112.0,70.1,65.4,59.7,71.1,2.1,2.6,6.3,7.8,2.6699999999999995,64.1,12.5,34.1,45.1,-0.12,112.0,70.1,56.5,45.1,2.4,34.1,76.1,75.3,75.8,64.3,12.0,27.3,9.1,6.5,64.3,77.6,0.087,0.087,,,,,,,,,,0.0,1,112.0,0.0,,,,,,,,
